"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"47","8747020202","Bay Anchovy",783403,19709,659643,663980,94737,"Engraulidae","Actinopterygii","8747020202",3.0925,0,-1,-3,-2
"48","8747020203","Cuban Anchovy",1,74,1933,888,NA,"Engraulidae","Actinopterygii","8747020203",NA,0,-1,-1,-2
"49","8747020204","Bigeye Anchovy",NA,3710,5781,NA,NA,"Engraulidae","Actinopterygii","8747020204",NA,0,-1,-1,-2
"50","8747020205","Dusky Anchovy",4573,1107,4402,182,NA,"Engraulidae","Actinopterygii","8747020205",NA,0,-1,-1,-2
"51","8747020304","Flat Anchovy",NA,NA,203,NA,NA,"Engraulidae","Actinopterygii","8747020304",NA,0,-1,-1,-2
"52","8758010103","Chain Pickerel",21,NA,18,NA,81,"Esocidae","Actinopterygii","8758010103",NA,0,-1,-5,-2
"53","8762020101","Inshore Lizardfish",1726,77,762,46,11,"Synodontidae","Actinopterygii","8762020101",4.11142857142857,0,-1,-2,-2
"54","8762020301","Largescale Lizardfish",1,NA,NA,NA,NA,"Synodontidae","Actinopterygii","8762020301",NA,0,-1,-1,-3
"55","8776010601","Golden Shiner",702,6,32,7,5786,"Cyprinidae","Actinopterygii","8776010601",2.83857142857143,0,-1,-5,-3
"56","8776011104","Ironcolor Shiner",6,NA,NA,NA,NA,"Cyprinidae","Actinopterygii","8776011104",NA,0,-1,-5,-4
"57","8776011178","Taillight Shiner",662,NA,237,12,493,"Cyprinidae","Actinopterygii","8776011178",NA,0,-1,-2,-2
"58","8776011185","Coastal Shiner",NA,NA,33,15,NA,"Cyprinidae","Actinopterygii","8776011185",NA,0,-1,-3,-2
"59","8776012301","Grass Carp",2,NA,5,NA,NA,"Cyprinidae","Actinopterygii","8776012301",2,0,-2,-13,-18
"60","8776018999","Metallic Shiner",NA,NA,NA,NA,1,"Cyprinidae","Actinopterygii","8776018999",NA,NA,NA,NA,NA
"61","8776040301","Lake Chubsucker",3,NA,26,18,19,"Catostomidae","Actinopterygii","8776040301",NA,0,-1,-4,-2
"62","8777020105","Channel Catfish",959,NA,10,NA,3008,"Ictaluridae","Actinopterygii","8777020105",3.75666666666667,0,-3,-9,-6
"63","8777020201","Tadpole Madtom",1,NA,NA,NA,NA,"Ictaluridae","Actinopterygii","8777020201",NA,0,-2,-5,-2
"64","8777020602","White Catfish",5837,NA,8,NA,12356,"Ictaluridae","Actinopterygii","8777020602",3.65,0,-1,-4,-2
"65","8777020604","Yellow Bullhead",1,NA,2,NA,NA,"Ictaluridae","Actinopterygii","8777020604",NA,0,-2,-7,-4
"66","8777020605","Brown Bullhead",90,NA,3,1,189,"Ictaluridae","Actinopterygii","8777020605",3.40875,0,-6,-12,-7
"67","8777120101","Walking Catfish",NA,NA,1,NA,NA,"Clariidae","Actinopterygii","8777120101",3.2925,0,-1,-2,-3
"68","8777180101","Gafftopsail Catfish",364,1,392,191,5,"Ariidae","Actinopterygii","8777180101",3.395,0,-1,-2,-1
"69","8777180202","Hardhead Catfish",1083,1158,25471,35753,7,"Ariidae","Actinopterygii","8777180202",3.335,0,-1,-2,-2
"70","8777300101","Suckermouth Catfish",NA,NA,3,NA,NA,"Loricariidae","Actinopterygii","8777300101",NA,0,-1,-2,-2
"71","8777300301","Brown Hoplo",3,NA,24,2,2,"Callichthyidae","Actinopterygii","8777300301",2.944,0,0,-1,-2
"72","8777302001","Vermiculated Catfish",NA,NA,1,NA,3,"Loricariidae","Actinopterygii","8777302001",NA,0,0,-2,-2
"73","8783010201","Oyster Toadfish",782,3,312,292,1,"Batrachoididae","Actinopterygii","8783010201",3.84,0,-1,-3,-2
"74","8783010202","Gulf Toadfish",NA,NA,2,NA,NA,"Batrachoididae","Actinopterygii","8783010202",NA,0,-1,-1,-2
"75","8784010102","Skilletfish",78,NA,13,92,2,"Gobiesocidae","Actinopterygii","8784010102",NA,0,-2,-3,-3
"76","8787020101","Sargassumfish",1,3,5,NA,NA,"Antennariidae","Actinopterygii","8787020101",NA,0,-3,-7,-14
"77","8787020234","Splitlure Frogfish",NA,NA,2,NA,NA,"Antennariidae","Actinopterygii","8787020234",4.2,0,-2,-7,-13
"78","8787040103","Shortnose Batfish",NA,NA,1,NA,NA,"Ogcocephalidae","Actinopterygii","8787040103",3.54,0,-1,-1,-2
"79","8787040113","Polka-dot Batfish",50,NA,3,1,NA,"Ogcocephalidae","Actinopterygii","8787040113",NA,0,-1,-1,-2
"80","8791031002","Spotted Hake",165,NA,NA,NA,NA,"Phycidae","Actinopterygii","8791031002",3.76666666666667,0,-1,-4,-2
"81","8791031007","Southern Hake",119,NA,1,NA,NA,"Phycidae","Actinopterygii","8791031007",NA,0,-1,-1,-2
"82","8792010502","Blackedge Cusk-eel",39,NA,NA,NA,NA,"Ophidiidae","Actinopterygii","8792010502",NA,0,-1,-1,-2
"83","8792010603","Bank Cusk-eel",37,NA,NA,NA,NA,"Ophidiidae","Actinopterygii","8792010603",NA,0,-1,-1,-2
"84","8792010605","Crested Cusk-eel",8,NA,NA,NA,NA,"Ophidiidae","Actinopterygii","8792010605",NA,0,-1,-1,-2
"85","8792010613","Striped Cusk-eel",18,NA,NA,NA,NA,"Ophidiidae","Actinopterygii","8792010613",3.51,0,-1,-2,-2
"86","8803010201","Ballyhoo",2,10,71,NA,NA,"Hemiramphidae","Actinopterygii","8803010201",2.24,0,-1,-2,-3
"87","8803010202","Balao",1,NA,29,NA,NA,"Hemiramphidae","Actinopterygii","8803010202",3.85,0,-1,-2,-3
"88","8803010301","Halfbeak",NA,NA,10,109,NA,"Hemiramphidae","Actinopterygii","8803010301",2,0,-2,-5,-4
"89","8803010399","False Silver Halfbeak",37,NA,244,397,NA,"Hemiramphidae","Actinopterygii","8803010399",NA,0,-1,-3,-1
"90","8803010401","Hardhead Halfbeak",NA,1,NA,1,NA,"Hemiramphidae","Actinopterygii","8803010401",NA,0,-2,-3,-4
"91","8803010901","Fourwing Flyingfish",NA,1,NA,NA,NA,"Exocoetidae","Actinopterygii","8803010901",NA,0,-1,-2,-2
"92","8803020201","Atlantic Needlefish",1587,9,452,466,560,"Belonidae","Actinopterygii","8803020201",3,0,-1,-4,-3
"93","8803020203","Timucu",14,11,174,219,NA,"Belonidae","Actinopterygii","8803020203",4.355,0,-1,-2,-3
"94","8803020302","Houndfish",28,27,31,6,NA,"Belonidae","Actinopterygii","8803020302",4.445,0,-2,-4,-13
"95","8804040201","Marsh Killifish",63,NA,NA,5,4,"Fundulidae","Actinopterygii","8804040201",NA,0,-2,-3,-3
"96","8804040203","Mummichog",46352,NA,NA,2,1,"Fundulidae","Actinopterygii","8804040203",NA,0,-2,-6,-3
"97","8804040205","Striped Killifish",2827,NA,NA,86,2,"Fundulidae","Actinopterygii","8804040205",NA,0,-1,-3,-2
"98","8804040207","Gulf Killifish",11,31,339,2158,NA,"Fundulidae","Actinopterygii","8804040207",3.27,0,-1,-1,-2
"99","8804040208","Golden Topminnow",14,NA,6,36,179,"Fundulidae","Actinopterygii","8804040208",NA,0,-1,-2,-2
"100","8804040213","Longnose Killifish",NA,NA,NA,180,NA,"Fundulidae","Actinopterygii","8804040213",3.19,0,-1,-1,-2
"101","8804040223","Seminole Killifish",2634,NA,60,338,13297,"Fundulidae","Actinopterygii","8804040223",NA,0,-1,-1,-1
