"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"207","8835430302","Sea Bream",NA,315,6462,92,NA,"Sparidae","Actinopterygii","8835430302",2.825,0,-1,-2,-2
"208","8835430401","Spottail Pinfish",1,20,187,2,NA,"Sparidae","Actinopterygii","8835430401",2.78,0,-1,-2,-2
"209","8835430501","Grass Porgy",NA,10,81,4,NA,"Sparidae","Actinopterygii","8835430501",NA,0,-1,-1,-2
"210","8835430502","Jolthead Porgy",NA,2,1,NA,NA,"Sparidae","Actinopterygii","8835430502",3.5,0,-1,-2,-2
"211","8835430505","Whitebone Porgy",1,NA,NA,NA,NA,"Sparidae","Actinopterygii","8835430505",4.035,0,-1,-1,-2
"212","8835430510","Sheepshead Porgy",NA,2,10,NA,NA,"Sparidae","Actinopterygii","8835430510",4.01,0,-1,-1,-2
"213","8835440102","Spotted Seatrout",5511,5,4871,13615,260,"Sciaenidae","Actinopterygii","8835440102",3.71,0,-1,-2,-1
"214","8835440103","Silver Seatrout",207,NA,10,1,NA,"Sciaenidae","Actinopterygii","8835440103",4.27285714285714,0,-1,-2,-2
"215","8835440301","Silver Perch",46376,26,29033,86737,3090,"Sciaenidae","Actinopterygii","8835440301",3.7075,0,-1,-2,-2
"216","8835440305","Striped Croaker",NA,NA,90,NA,NA,"Sciaenidae","Actinopterygii","8835440305",NA,0,-1,-1,-2
"217","8835440401","Spot",367243,1191,61410,72676,12189,"Sciaenidae","Actinopterygii","8835440401",3.28444444444444,0,-1,-3,-2
"218","8835440501","Banded Drum",329,NA,NA,NA,NA,"Sciaenidae","Actinopterygii","8835440501",3.35857142857143,0,-1,-2,-1
"219","8835440601","Southern Kingfish",6756,6,898,7465,27,"Sciaenidae","Actinopterygii","8835440601",3.63285714285714,0,-1,-3,-1
"220","8835440602","Gulf Kingfish",180,NA,2,1,1,"Sciaenidae","Actinopterygii","8835440602",3.92,0,-1,-1,-2
"221","8835440603","Northern Kingfish",190,NA,11,NA,3,"Sciaenidae","Actinopterygii","8835440603",3.659,0,-1,-3,-2
"222","8835440701","Atlantic Croaker",181661,77,33812,7970,92451,"Sciaenidae","Actinopterygii","8835440701",3.294375,0,-1,-2,-1
"223","8835440801","Black Drum",848,25,2799,5929,4,"Sciaenidae","Actinopterygii","8835440801",NA,0,-1,-5,-2
"224","8835440901","Red Drum",4001,28,15733,8465,158,"Sciaenidae","Actinopterygii","8835440901",3.47769230769231,0,-2,-3,-4
"225","8835441001","Star Drum",53509,NA,NA,NA,8,"Sciaenidae","Actinopterygii","8835441001",NA,0,-1,-1,-2
"226","8835450301","Spotted Goatfish",NA,NA,3,NA,NA,"Mullidae","Actinopterygii","8835450301",3.65666666666667,0,-1,-2,-2
"227","8835510101","Yellow Chub",NA,NA,8,NA,NA,"Kyphosidae","Actinopterygii","8835510101",2,0,-1,-2,-4
"228","8835510102","Bermuda Chub",NA,2,38,NA,NA,"Kyphosidae","Actinopterygii","8835510102",2,0,-1,-2,-4
"229","8835520101","Atlantic Spadefish",1715,1,1199,1690,3,"Ephippidae","Actinopterygii","8835520101",3.804,0,-1,-2,-2
"230","8835550401","Gray Angelfish",NA,1,3,NA,NA,"Pomacanthidae","Actinopterygii","8835550401",3.23,0,-1,-2,-2
"231","8835610101","Oscar",NA,NA,NA,1,NA,"Cichlidae","Actinopterygii","8835610101",NA,0,-1,-2,-2
"232","8835610201","Black Acara",NA,2,1,NA,NA,"Cichlidae","Actinopterygii","8835610201",NA,0,-1,-2,-2
"233","8835610301","Jewelfish",1,NA,33,NA,NA,"Cichlidae","Actinopterygii","8835610301",NA,0,0,0,0
"234","8835610401","Blue Tilapia",NA,NA,NA,NA,1,"Cichlidae","Actinopterygii","8835610401",2.06,0,-1,-5,-4
"235","8835610402","Spotted Tilapia",1,65,45,148,NA,"Cichlidae","Actinopterygii","8835610402",NA,0,-1,-2,-3
"236","8835610403","Blackchin Tilapia",NA,2,128,371,NA,"Cichlidae","Actinopterygii","8835610403",2.02,0,-2,-4,-4
"237","8835614001","Mozambique Tilapia",24,NA,NA,NA,4,"Cichlidae","Actinopterygii","8835614001",2.1525,0,-1,-7,-11
"238","8835620101","Sergeant Major",6,NA,23,NA,NA,"Pomacentridae","Actinopterygii","8835620101",3.82,0,-1,-2,-4
"239","8835740101","Everglades Pygmy Sunfish",1,NA,NA,NA,NA,"Elassomatidae","Actinopterygii","8835740101",NA,0,-1,-1,-1
"240","8835740102","Okefenokee Pygmy Sunfish",5,NA,NA,NA,NA,"Elassomatidae","Actinopterygii","8835740102",NA,0,-1,-1,-1
"241","8835740103","Banded Pygmy Sunfish",1,NA,NA,NA,NA,"Elassomatidae","Actinopterygii","8835740103",NA,0,-1,-3,-1
"242","8835750202","Striped Bass",41,NA,NA,NA,6,"Moronidae","Actinopterygii","8835750202",4.033,0,-6,-13,-11
"243","8836010101","Striped Mullet",98832,209,63513,89288,4105,"Mugilidae","Actinopterygii","8836010101",2.78555555555556,0,-3,-24,-38
"244","8836010102","White Mullet",32748,963,69749,72258,229,"Mugilidae","Actinopterygii","8836010102",2.005,0,-3,-9,-6
"245","8836010103","Redeye Mullet",NA,133,400,146,NA,"Mugilidae","Actinopterygii","8836010103",NA,NA,NA,NA,NA
"246","8836010105","Fantail Mullet",NA,5,19,1,NA,"Mugilidae","Actinopterygii","8836010105",NA,0,-2,-3,-4
"247","8836010401","Mountain Mullet",5,1,123,8,2,"Mugilidae","Actinopterygii","8836010401",3.34,0,-2,-3,-4
"248","8837010102","Sennet",53,NA,16,NA,NA,"Sphyraenidae","Actinopterygii","8837010102",NA,0,-1,-3,-2
"249","8837010103","Guaguanche",33,NA,7,1,NA,"Sphyraenidae","Actinopterygii","8837010103",4.325,0,-1,-2,-2
"250","8837010104","Great Barracuda",24,754,4351,97,NA,"Sphyraenidae","Actinopterygii","8837010104",4.434,0,-2,-4,-11
"251","8838010102","Barbu",NA,NA,3,NA,NA,"Polynemidae","Actinopterygii","8838010102",3.54,0,-1,-1,-2
"252","8839010702","Slippery Dick",NA,NA,1,NA,NA,"Labridae","Actinopterygii","8839010702",3.825,0,-1,-1,-2
"253","8839010709","Puddingwife",NA,1,21,NA,NA,"Labridae","Actinopterygii","8839010709",3.52,0,-1,-1,-2
"254","8839010901","Hogfish",NA,105,298,NA,NA,"Labridae","Actinopterygii","8839010901",4.03,0,-1,-2,-2
"255","8839030403","Redtail Parrotfish",NA,102,7,NA,NA,"Scaridae","Actinopterygii","8839030403",2,0,-1,-1,-2
"256","8839030404","Bucktooth Parrotfish",NA,78,66,NA,NA,"Scaridae","Actinopterygii","8839030404",2,0,-1,-1,-2
"257","8839030405","Redfin Parrotfish",NA,103,12,NA,NA,"Scaridae","Actinopterygii","8839030405",2,0,-1,-2,-2
"258","8840020299","Spotfin Jawfish",NA,NA,2,NA,NA,"Opistognathidae","Actinopterygii","8840020299",NA,0,-1,-1,-2
"259","8840140102","Southern Stargazer",312,NA,12,NA,NA,"Uranoscopidae","Actinopterygii","8840140102",4.2,0,-1,-1,-2
"260","8842010201","Feather Blenny",62,NA,2,NA,NA,"Blenniidae","Actinopterygii","8842010201",NA,0,-1,-3,-2
"261","8842010202","Freckled Blenny",14,NA,NA,NA,NA,"Blenniidae","Actinopterygii","8842010202",NA,0,-1,-1,-2
"262","8842010301","Striped Blenny",46,NA,4,3,1,"Blenniidae","Actinopterygii","8842010301",NA,0,-1,-2,-2
"263","8842010302","Florida Blenny",3,NA,618,1769,NA,"Blenniidae","Actinopterygii","8842010302",2.94166666666667,0,-1,-1,-2
"264","8842010501","Crested Blenny",4,NA,2,NA,NA,"Blenniidae","Actinopterygii","8842010501",NA,0,-1,-1,-2
"265","8842011402","Highfin Blenny",NA,2,56,3,NA,"Blenniidae","Actinopterygii","8842011402",NA,0,-1,-1,-2
"266","8842090307","Hairy Blenny",NA,NA,10,NA,NA,"Labrisomidae","Actinopterygii","8842090307",3.59,0,-1,-1,-3
"267","8842090503","Banded Blenny",NA,NA,2,NA,NA,"Labrisomidae","Actinopterygii","8842090503",NA,0,-1,-1,-2
"268","8842090506","Marbled Blenny",NA,NA,1,NA,NA,"Labrisomidae","Actinopterygii","8842090506",NA,0,-1,-1,-2
"269","8847010401","Lyre Goby",14,71,2153,10,NA,"Gobiidae","Actinopterygii","8847010401",NA,0,-1,-3,-2
"270","8847010501","Darter Goby",3303,239,3052,366,14,"Gobiidae","Actinopterygii","8847010501",NA,0,-1,-2,-3
"271","8847010503","Highfin Goby",490,107,850,85,37,"Gobiidae","Actinopterygii","8847010503",NA,0,-1,-2,-3
"272","8847010504","Freshwater Goby",3381,1,264,2,311,"Gobiidae","Actinopterygii","8847010504",NA,0,0,0,0
"273","8847010506","Marked Goby",48,5,12,1,NA,"Gobiidae","Actinopterygii","8847010506",NA,0,-1,-1,-2
"274","8847010507","Spottail Goby",NA,7,41,NA,NA,"Gobiidae","Actinopterygii","8847010507",NA,0,-1,-1,-2
"275","8847010510","Dash Goby",NA,8,NA,NA,NA,"Gobiidae","Actinopterygii","8847010510",NA,0,-1,-1,-2
"276","8847010511","Emerald Goby",380,193,358,5,NA,"Gobiidae","Actinopterygii","8847010511",NA,0,-1,-1,-2
"277","8847010513","Slashcheek Goby",NA,1,176,NA,NA,"Gobiidae","Actinopterygii","8847010513",NA,0,-1,-2,-2
"278","8847010601","Naked Goby",1461,18,996,473,590,"Gobiidae","Actinopterygii","8847010601",NA,0,-1,-2,-1
"279","8847010602","Seaboard Goby",14,NA,2,NA,NA,"Gobiidae","Actinopterygii","8847010602",NA,0,-1,-2,-2
"280","8847010603","Code Goby",272,5,12330,20240,138,"Gobiidae","Actinopterygii","8847010603",NA,0,-1,-1,-2
"281","8847010701","Clown Goby",4629,276,11413,61670,8216,"Gobiidae","Actinopterygii","8847010701",2.37,0,-1,-2,-2
"282","8847010702","Green Goby",1396,76,253,240,38,"Gobiidae","Actinopterygii","8847010702",NA,0,-1,-2,-1
"283","8847010704","Banner Goby",NA,27,177,7,NA,"Gobiidae","Actinopterygii","8847010704",NA,0,-1,-1,-2
"284","8847010903","Frillfin Goby",269,56,247,1,2,"Gobiidae","Actinopterygii","8847010903",NA,0,-1,-1,-4
"285","8847011801","Emerald Sleeper",4,13,6,NA,NA,"Eleotridae","Actinopterygii","8847011801",NA,0,-1,-1,-2
"286","8847012104","River Goby",NA,NA,2,NA,1,"Gobiidae","Actinopterygii","8847012104",NA,0,-1,-2,-2
"287","8847012501","Crested Goby",NA,131,1760,453,NA,"Gobiidae","Actinopterygii","8847012501",NA,0,-1,-2,-3
"288","8847012701","Orange Spotted Goby",NA,1,NA,NA,NA,"Gobiidae","Actinopterygii","8847012701",NA,0,-1,-1,-2
"289","8847013302","Fat Sleeper",83,75,1310,67,6,"Eleotridae","Actinopterygii","8847013302",2.25,0,-2,-3,-4
"290","8847013401","Bigmouth Sleeper",2,10,357,2,5,"Eleotridae","Actinopterygii","8847013401",3.77,0,-2,-3,-4
"291","8847013603","Blotchcheek Goby",NA,NA,8,NA,NA,"Gobiidae","Actinopterygii","8847013603",NA,0,-1,-1,-1
"292","8847013708","Largescaled Spinycheek Sleeper",7,1,48,1,NA,"Eleotridae","Actinopterygii","8847013708",4.03,0,-1,-2,-2
"293","8849010102","Doctorfish",NA,1,1,NA,NA,"Acanthuridae","Actinopterygii","8849010102",2.09,0,-1,-2,-3
"294","8850020201","Atlantic Cutlassfish",177,NA,28,1,NA,"Trichiuridae","Actinopterygii","8850020201",4.2,0,-2,-10,-18
"295","8850030501","King Mackerel",10,NA,3,NA,NA,"Scombridae","Actinopterygii","8850030501",4.452,0,-1,-3,-2
"296","8850030502","Spanish Mackerel",566,1,254,71,NA,"Scombridae","Actinopterygii","8850030502",4.50666666666667,0,-1,-3,-2
"297","8850030503","Cero",NA,2,88,NA,NA,"Scombridae","Actinopterygii","8850030503",4.51,0,-1,-3,-2
"298","8851030103","Butterfish",53,NA,NA,NA,NA,"Stromateidae","Actinopterygii","8851030103",3.95142857142857,0,-2,-4,-2
"299","8851030104","Gulf Butterfish",1,NA,NA,NA,NA,"Stromateidae","Actinopterygii","8851030104",NA,0,-1,-1,-2
"300","8851030106","Harvestfish",447,NA,1,NA,NA,"Stromateidae","Actinopterygii","8851030106",4.5,0,-1,-3,-1
"301","8857030105","Sand Whiff",NA,1,13,NA,NA,"Paralichthyidae","Actinopterygii","8857030105",NA,0,-1,-1,-2
"302","8857030109","Spotted Whiff",50,12,59,NA,NA,"Paralichthyidae","Actinopterygii","8857030109",NA,0,-1,-1,-2
"303","8857030110","Bay Whiff",7684,137,2844,272,842,"Paralichthyidae","Actinopterygii","8857030110",3.83,0,-1,-2,-1
"304","8857030201","Fringed Flounder",7178,NA,34,4,27,"Paralichthyidae","Actinopterygii","8857030201",3.49,0,-2,-2,-3
"305","8857030202","Smallmouth Flounder",1,NA,NA,NA,NA,"Paralichthyidae","Actinopterygii","8857030202",NA,0,-1,-2,-2
"306","8857030301","Summer Flounder",735,NA,1,NA,1,"Paralichthyidae","Actinopterygii","8857030301",4.28428571428571,0,-1,-4,-1
"307","8857030302","Gulf Flounder",1198,3,1444,123,2,"Paralichthyidae","Actinopterygii","8857030302",NA,0,-1,-1,-2
"308","8857030304","Southern Flounder",4446,2,320,32,976,"Paralichthyidae","Actinopterygii","8857030304",3.55,0,-1,-1,-2
"309","8857030306","Broad Flounder",46,NA,NA,NA,NA,"Paralichthyidae","Actinopterygii","8857030306",NA,0,-1,-1,-2
"310","8857030401","Windowpane",5,NA,NA,NA,NA,"Scophthalmidae","Actinopterygii","8857030401",3.70285714285714,0,-2,-4,-2
"311","8857030603","Eyed Flounder",NA,4,NA,NA,NA,"Bothidae","Actinopterygii","8857030603",3.78,0,-1,-3,-2
"312","8857030604","Twospot Flounder",NA,1,1,NA,NA,"Bothidae","Actinopterygii","8857030604",NA,0,-1,-2,-1
"313","8857031303","Dusky Flounder",NA,2,1,NA,NA,"Paralichthyidae","Actinopterygii","8857031303",3.59,0,-1,-1,-2
"314","8858020101","Blackcheek Tonguefish",7024,5,161,23,8,"Cynoglossidae","Actinopterygii","8858020101",2.99,0,-1,-2,-1
"315","8858020102","Offshore Tonguefish",11,1,NA,NA,NA,"Cynoglossidae","Actinopterygii","8858020102",NA,0,-1,-1,-2
"316","8858020110","Spottail Tonguefish",NA,NA,1,NA,NA,"Cynoglossidae","Actinopterygii","8858020110",NA,0,-1,-1,-2
"317","8858030101","Hogchoker",16999,13,1119,1023,5881,"Achiridae","Actinopterygii","8858030101",2.94,0,-1,-3,-2
"318","8858030102","Scrawled Sole",NA,1,NA,NA,NA,"Achiridae","Actinopterygii","8858030102",NA,0,-1,-1,-2
"319","8858030202","Lined Sole",1613,59,1263,1930,28,"Achiridae","Actinopterygii","8858030202",3.52,0,-2,-3,-3
"320","8860020101","Orange Filefish",3,NA,24,9,NA,"Monacanthidae","Actinopterygii","8860020101",2.02,0,-1,-3,-3
"321","8860020102","Dotterel Filefish",3,NA,NA,NA,NA,"Monacanthidae","Actinopterygii","8860020102",NA,0,-1,-2,-2
"322","8860020103","Unicorn Filefish",1,NA,1,NA,NA,"Monacanthidae","Actinopterygii","8860020103",3.035,0,-2,-7,-13
"323","8860020104","Scrawled Filefish",1,5,9,NA,NA,"Monacanthidae","Actinopterygii","8860020104",2.81,0,-2,-5,-13
"324","8860020201","Gray Triggerfish",NA,NA,1,1,NA,"Balistidae","Actinopterygii","8860020201",4.06,0,-3,-9,-5
"325","8860020402","Orangespotted Filefish",NA,2,NA,NA,NA,"Monacanthidae","Actinopterygii","8860020402",2.62,0,-1,-2,-2
"326","8860020501","Rough Triggerfish",NA,1,2,NA,NA,"Balistidae","Actinopterygii","8860020501",NA,0,-2,-4,-9
"327","8860020701","Fringed Filefish",NA,35,248,NA,NA,"Monacanthidae","Actinopterygii","8860020701",2.73,0,-2,-3,-2
"328","8860020703","Planehead Filefish",513,136,778,33,1,"Monacanthidae","Actinopterygii","8860020703",2.9,0,-1,-3,-3
"329","8860020704","Pygmy Filefish",NA,NA,2,NA,NA,"Monacanthidae","Actinopterygii","8860020704",NA,0,-2,-2,-4
"330","8860030101","Trunkfish",1,82,315,4,NA,"Ostraciidae","Actinopterygii","8860030101",3.29,0,-1,-2,-3
"331","8860030201","Scrawled Cowfish",NA,64,104,5,NA,"Ostraciidae","Actinopterygii","8860030201",2.565,0,-1,-3,-4
"332","8860030202","Honeycomb Cowfish",NA,1,NA,NA,NA,"Ostraciidae","Actinopterygii","8860030202",2.03,0,-1,-2,-2
"333","8861010201","Northern Puffer",5,NA,8,NA,NA,"Tetraodontidae","Actinopterygii","8861010201",NA,0,-2,-4,-2
"334","8861010202","Checkered Puffer",1,1563,7182,41,NA,"Tetraodontidae","Actinopterygii","8861010202",3.58,0,-2,-3,-3
"335","8861010208","Southern Puffer",1382,64,4831,17455,2,"Tetraodontidae","Actinopterygii","8861010208",2.4,0,-1,-1,-2
"336","8861010211","Bandtail Puffer",13,46,415,25,NA,"Tetraodontidae","Actinopterygii","8861010211",3.27,0,-1,-2,-3
"337","8861030101","Striped Burrfish",1187,126,4371,2461,2,"Diodontidae","Actinopterygii","8861030101",3.51,0,-1,-4,-2
"338","8861030102","Bridled Burrfish",NA,2,3,NA,NA,"Diodontidae","Actinopterygii","8861030102",3.77,0,-1,-1,-3
"339","8861030201","Porcupinefish",NA,33,8,NA,NA,"Diodontidae","Actinopterygii","8861030201",3.655,0,-2,-9,-14
"340","8861030202","Balloonfish",NA,10,5,NA,NA,"Diodontidae","Actinopterygii","8861030202",3.925,0,-2,-6,-11
