"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","No Set","Offshore Purse Seine","Scientificname","Genus","Subfamily","Family","Order","Class"
"524","8858020101","Blackcheek Tonguefish",318,4484,NA,NA,NA,15692,34,NA,NA,NA,NA,"Symphurus plagiusa","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"525","8858020102","Offshore Tonguefish",NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,"Symphurus civitatium","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"526","8858020106","Pygmy Tonguefish",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"Symphurus parvus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"527","8858030101","Hogchoker",759,16844,NA,1,NA,58443,362,164,NA,NA,NA,"Trinectes maculatus","Trinectes",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"528","8858030102","Scrawled Sole",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trinectes inscriptus","Trinectes",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"529","8858030202","Lined Sole",195,4727,NA,NA,NA,4376,103,9,NA,7,NA,"Achirus lineatus","Achirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"530","8858030301","Naked Sole",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Gymnachirus melas","Gymnachirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"531","8858030303","Fringed Sole",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Gymnachirus texae","Gymnachirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"532","8860020000","Triggerfishes",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"Balistidae spp.",NA,NA,NA,NA,NA
"533","8860020101","Orange Filefish",408,131,NA,1,NA,1401,NA,NA,NA,NA,NA,"Aluterus schoepfii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"534","8860020104","Scrawled Filefish",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Aluterus scriptus","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"535","8860020700",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","8860020701","Fringed Filefish",441,309,NA,NA,NA,12757,NA,NA,NA,1,NA,"Monacanthus ciliatus","Monacanthus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"537","8860020703","Planehead Filefish",7790,5887,NA,8,NA,36312,NA,NA,NA,6,NA,"Stephanolepis hispidus","Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"538","8860020704","Pygmy Filefish",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanolepis setifer","Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"539","8860030000","Boxfishes",1,6,NA,NA,NA,17,NA,NA,NA,NA,NA,"Ostraciidae spp.",NA,NA,NA,NA,NA
"540","8860030100","Trunkfishes",NA,9,NA,NA,NA,2,NA,NA,NA,NA,NA,"Lactophrys spp.",NA,NA,NA,NA,NA
"541","8860030101","Trunkfish",48,11,NA,NA,NA,29,NA,NA,NA,NA,NA,"Lactophrys trigonus","Lactophrys",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"542","8860030103","Smooth Trunkfish",NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,"Lactophrys triqueter",NA,NA,NA,NA,NA
"543","8860030200","Cowfish",NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,"Acanthostracion spp.",NA,NA,NA,NA,NA
"544","8860030201","Scrawled Cowfish",9446,684,NA,11,2,8377,NA,NA,NA,8,NA,"Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"545","8860030202","Honeycomb Cowfish",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Acanthostracion polygonius","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"546","8860040000","Filefishes",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Monacanthidae spp.",NA,NA,NA,NA,NA
"547","8861010101","Smooth Puffer",1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Lagocephalus laevigatus","Lagocephalus","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"548","8861010200",NA,NA,168,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","8861010201","Northern Puffer",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphoeroides maculatus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"550","8861010202","Checkered Puffer",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphoeroides testudineus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"551","8861010208","Southern Puffer",11398,11525,NA,223,NA,7035,56,2,73,8,NA,"Sphoeroides nephelus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"552","8861010210","Least Puffer",55,109,NA,NA,NA,216,NA,NA,NA,NA,NA,"Sphoeroides parvus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"553","8861010211","Bandtail Puffer",66,44,NA,NA,NA,250,NA,NA,NA,NA,NA,"Sphoeroides spengleri","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"554","8861030100",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","8861030101","Striped Burrfish",18045,2114,NA,343,3,23127,NA,NA,6,2,NA,"Chilomycterus schoepfii","Chilomycterus",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"556","8861030200",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","8861030201","Porcupinefish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Diodon hystrix","Diodon",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"558","8861030202","Balloonfish",14,2,NA,NA,NA,5,NA,NA,NA,NA,NA,"Diodon holocanthus","Diodon",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"559","9002010201","Alligator Snapping Turtle",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macrochelys temminckii",NA,NA,NA,NA,NA
"560","9002030300","Terrapin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Malaclemys spp.",NA,NA,NA,NA,NA
"561","9002030301","Diamondback Terrapin",219,1,NA,10,NA,7,NA,NA,NA,NA,NA,"Malaclemys terrapin",NA,NA,NA,NA,NA
"562","9002030501","Chicken Turtle",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"Deirochelys reticularia",NA,NA,NA,NA,NA
"563","9002030800","Cooters - Turtles",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudemys spp.",NA,NA,NA,NA,NA
"564","9002030802","Suwannee Cooter",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudemys suwanniensis",NA,NA,NA,NA,NA
"565","9002030803","Peninsula Cooter",1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,"Pseudemys peninsularis",NA,NA,NA,NA,NA
"566","9002030804","Florida Redbelly Turtle",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudemys nelsoni",NA,NA,NA,NA,NA
"567","9002040101","Loggerhead Sea Turtle",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Caretta caretta",NA,NA,NA,NA,NA
"568","9002040201","Green Sea Turtle",85,1,NA,3,NA,9,NA,NA,NA,NA,NA,"Chelonia mydas",NA,NA,NA,NA,NA
"569","9002040400","Ridley Sea Turtles",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Lepidochelys spp.",NA,NA,NA,NA,NA
"570","9002040401","Kemps Ridley Sea Turtle",15,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"Lepidochelys kempii",NA,NA,NA,NA,NA
"571","9002060201","Florida Softshell",1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Apalone ferox",NA,NA,NA,NA,NA
"572","9.998e+09",NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"573","9.999e+09",NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","878301020201","Gulf Toadfish (red morph)",3,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"Opsanus beta (red morph)",NA,NA,NA,NA,NA
"575","878301020202","Gulf Toadfish (yellow morph)",1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Opsanus beta (yellow morph)",NA,NA,NA,NA,NA
"576","900203090102","Red-eared Turtle",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Trachemys scripta elegans",NA,NA,NA,NA,NA
