"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"176","8777020607","Spotted Bullhead",NA,NA,NA,NA,NA,1,"Ameiurus serracanthus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"177","8777120101","Walking Catfish",NA,NA,1,1,NA,NA,"Clarias batrachus","Clarias",NA,"Clariidae","Siluriformes","Actinopterygii"
"178","8777180101","Gafftopsail Catfish",79,1,2664,2453,312,8459,"Bagre marinus","Bagre","Bagreinae","Ariidae","Siluriformes","Actinopterygii"
"179","8777180202","Hardhead Catfish",209,200,30609,35630,1406,51582,"Ariopsis felis","Ariopsis","Ariinae","Ariidae","Siluriformes","Actinopterygii"
"180","8777300000","Suckermouth Catfish",NA,NA,8,11,NA,NA,"Loricariidae spp.",NA,NA,NA,NA,NA
"181","8777300300",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"182","8777300301","Brown Hoplo",NA,NA,24,1,NA,1,"Hoplosternum littorale","Hoplosternum","Callichthyinae","Callichthyidae","Siluriformes","Actinopterygii"
"183","8777301000","Armoured Catfishes",NA,NA,13,22,NA,NA,"Pterygoplichthys spp.",NA,NA,NA,NA,NA
"184","8777302001","Vermiculated Catfish",NA,NA,1,4,NA,NA,"Pterygoplichthys disjunctivus","Pterygoplichthys","Hypostominae","Loricariidae","Siluriformes","Actinopterygii"
"185","8781010101","Pirate Perch",NA,NA,NA,NA,NA,2,"Aphredoderus sayanus","Aphredoderus",NA,"Aphredoderidae","Percopsiformes","Actinopterygii"
"186","8783010108","Atlantic Midshipman",NA,NA,NA,NA,NA,632,"Porichthys plectrodon","Porichthys","Porichthyinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"187","8783010202","Gulf Toadfish",3737,816,3827,4145,510,4536,"Opsanus beta","Opsanus","Batrachoidinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"188","8784010000",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","8784010102","Skilletfish",6,NA,291,331,5,145,"Gobiesox strumosus","Gobiesox","Gobiesocinae","Gobiesocidae","Gobiesociformes","Actinopterygii"
"190","8787020101","Sargassumfish",1,NA,NA,NA,NA,NA,"Histrio histrio","Histrio","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"191","8787020203","Singlespot Frogfish",NA,NA,NA,NA,NA,8,"Fowlerichthys radiosus","Fowlerichthys","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"192","8787040100","Batfishes",1,NA,1,1,1,NA,"Ogcocephalus spp.",NA,NA,NA,NA,NA
"193","8787040105","Roughback Batfish",NA,NA,NA,NA,NA,2,"Ogcocephalus parvus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"194","8787040106","Spotted Batfish",1,NA,60,4,18,4113,"Ogcocephalus pantostictus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"195","8787040109","Longnose Batfish",NA,NA,NA,NA,NA,4,"Ogcocephalus corniger","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"196","8787040113","Polka-dot Batfish",35,1,745,254,21,7660,"Ogcocephalus cubifrons","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"197","8791031000",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"198","8791031002","Spotted Hake",3,NA,NA,NA,NA,122,"Urophycis regia","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"199","8791031007","Southern Hake",18,NA,243,254,6,2139,"Urophycis floridana","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"200","8792010401","Bearded Brotula",NA,NA,NA,NA,NA,1,"Brotula barbata","Brotula","Brotulinae","Ophidiidae","Ophidiiformes","Actinopterygii"
